هُوِّ ألْماني.‌,He is German.,,,,,,,,,161
إلو,have;his;for,,pseudo-verb,,,,,,,162
هوْل الوْرود إلُن ريحة حِلْوِة.‌,Those flowers have a nice smell.,,,,,,,,,163
إلو… ما‌,haven't __ in…;it's been… since,,pseudo-verb,,,,,,,164
إلي سِنِة ما شِفْتا.‌,I haven't seen her in a year.;It's been a year since I saw her.,,,,,,,,,165
هَيْدا الِكْتاب إلو.‌,This book is his.,,,,,,,,,166
هَيْدا الجِّزْدان إلا.‌,This bag is hers.,,,,,,,,,167
عِنْدي أخْبار مْنيحة إلِك.‌,I have good news for you.,,,,,,,,,168
إمّ,mother;mom,,noun; f.,,,,,,,169
الصّبي الصّْغير باس إمّو.‌,The little boy kissed his mom.,,,,,,,,,170
إمْتِحان,test;exam,,noun,,,,,,,171
نجح الإمْتِحان.‌,He passed the examination.,,,,,,,,,172
أمل,hope,,noun,plural,أمال,,,,,173
خِطابو عطاني أمل.‌,His speech gave me hope.,,,,,,,,,174
آمن,believe,,verb,imperfect,يْآمِن,,,,,175
بيآمِن بِاللّه.‌,He believes in God.,,,,,,,,,176
آمِن,safe,,adjective,,,,,,,177
هَيْدا مكان آمِن.‌,This place is safe.,,,,,,,,,178
أُمْنِيِة,wish,,noun,,,,,,,179
عْموْل أُمْنِيِة.‌,Make a wish!,,,,,,,,,180
أمير,prince,,noun,plural,أُمرا,,,,,181
الأمير ما عِنْدو خيّ.‌,The prince doesn't have a brother.,,,,,,,,,182
أميْرْكا,America,,noun (no plural); f.,,,,,,,183
قريبي بْيِدْرُس بِأميْرْكا.‌,My cousin studies in America.,,,,,,,,,184
أنا,I,,pronoun,,,,,,,185
أنا مِن لِبْنان.‌,I'm from Lebanon.,,,,,,,,,186
أنا ما بْحِبّو.‌,I don't like it.,,,,,,,,,187
إنْتَ,you,,pronoun; m.,,,,,,,188
مِن ويْن إنْتَ؟‌,Where are you from?,,,,,,,,,189
أنْتج,produce,,verb,imperfect,يِنْتُج,,,,,190
الإنْتِرْنِت,the internet,,noun (no plural),,,,,,,191
الإنْتِرْنِت بطيء بِلِبْنان.‌,The internet is slow in Lebanon.,,,,,,,,,192
أنْتج الفيلْم هَيْدي السِّنِة.‌,He produced the movie this year.,,,,,,,,,193
إنْتو,you,,pronoun; pl.,,,,,,,194
مِن ويْن إنْتو؟‌,Where are you (guys) from?,,,,,,,,,195
إنْتي,you,,pronoun; f.,,,,,,,196
مِن ويْن إنْتي؟‌,Where are you from?,,,,,,,,,197
أُنْثى,female,,noun; f.,plural,إناث,,,,,198
الِبْسَيْنِة دكر أَوْ أُنْثى؟‌,Is the cat male or female?,,,,,,,,,199
إنْذار,warning;notice,,noun,,,,,,,200
